level1,level2_cefr,level3_cefr,level4_cefr
B1,A2,B1,A2
B1,A2,B1,A2
B1,A2,A2,A2
B1,C1,B1,A2
A2,B1,A2,A2
B1,B1,B1,A2
A2,A2,B1,A2
A2,A2,B1,B1
A2,B1,A2,A2
B1,B1,B1,B1
B1,A2,A2,A2
A2,A2,A2,A2
B1,B1,B1,B1
B1,A2,B1,B1
A2,B1,A2,B1
A2,A2,A2,A2
A2,A2,A2,A2
B1,A2,B1,A2
B1,B1,A2,B1
A2,B1,B1,B1
A2,A2,A2,A2
A2,A2,A2,A2
A2,A2,A2,A2
B1,A2,A2,A2
C1,C1,C1,C1
A2,B1,A2,B1
B1,B1,B1,B1
B1,A2,A2,B1
B1,B1,A2,B1
B1,B1,A2,A2
B1,B1,B1,B1
A2,B1,A2,A2
B1,C1,C1,C2
A2,A2,C1,C1
A2,C1,C1,C1
A2,B1,A2,A2
B1,A2,A2,A2
B1,B1,B1,B1
C2,A2,B1,A2
B1,A2,B1,B1
A2,A2,B1,A2
B1,C1,C1,C1
B1,A2,A2,A2
B1,A2,A2,A2
A2,B1,B1,B1
B1,A2,B1,B1
B1,B1,A2,B1
B1,C1,A2,C1
B1,B1,A2,B1
B1,A2,A2,A2
B1,A2,B1,A2
B1,B1,A2,C1
A2,A2,A2,B1
B1,A2,B1,B1
B1,B1,B1,B1
B1,A2,A2,A2
A2,A2,A2,A2
A2,B1,B1,B1
B1,A2,A2,A2
B1,B1,A2,A2
B1,B1,B1,B1
C1,B1,B1,B1
B1,C2,C2,C2
A2,B1,B1,B1
A2,A2,A2,A2
C1,C1,C1,C1
B1,A2,A2,A2
B1,A2,A2,A2
A2,B1,B1,B1
B1,B1,B1,B1
A2,A2,A2,A2
A2,A2,A2,A2
C1,C1,C1,C1
B1,B1,B1,B1
B1,B1,A2,B1
B1,A2,A2,B1
B1,A2,B1,B1
B1,B1,B1,B1
A2,B1,B1,A2
C1,C1,C1,C1
A2,A2,A2,C1
B1,B1,B1,B1
B1,A2,B1,A2
B1,B1,B1,B1
A2,B1,B1,B1
C1,C1,C1,C1
B1,B1,B1,B1
B1,C1,C1,C1
B1,B1,B1,B1
B1,B1,A2,A2
B1,A2,A2,A2
B1,C1,A2,C1
B1,A2,A2,A2
C2,C1,C1,C1
A2,B1,B1,B1
B1,A2,A2,A2
C2,C2,C2,C2
B1,A2,A2,A2
B1,A2,A2,A2
C1,A2,B1,A2
B1,A2,B1,A2
B1,A2,A2,A2
A2,A2,A2,B1
A2,A2,A2,A2
B1,B1,B1,A2
A2,A2,A2,A2
B1,A2,A2,A2
B1,B1,B1,B1
A2,A2,A2,A2
B1,A2,A2,A2
B1,B1,B1,B1
B1,B1,B1,B1
B1,C1,C1,C1
A2,A2,A2,A2
B1,B1,B1,B1
A2,B1,B1,B1
C1,C1,C1,C1
B1,A2,A2,A2
B1,A2,A2,A2
A2,C1,C1,C1
