level1,level2_fkg,level3_fkg,level4_fkg
3.2,3.9,5.2,4.0
3.4,9.6,6.5,12.3
8.6,-15.7,11.8,-15.7
9.7,2.9,5.5,7.1
-15.7,7.2,0.7,4.1
6.4,4.5,4.5,7.7
5.3,4.6,2.3,3.7
6.7,8.3,5.8,9.5
11.4,8.6,7.6,10.3
9.2,5.9,8.2,5.2
9.2,4.7,5.2,4.8
6.3,6.4,5.7,4.7
3.3,6.0,9.6,9.0
-15.7,-15.7,8.5,-15.7
-15.7,3.5,8.4,6.9
3.0,2.4,4.3,5.0
3.6,-0.4,9.3,-0.4
8.7,3.7,8.7,2.4
10.4,7.2,4.4,8.7
10.5,6.6,5.1,5.8
11.3,5.5,8.8,8.4
2.7,2.0,3.3,2.0
6.4,3.5,7.6,4.4
8.0,3.5,6.1,4.8
9.4,6.1,-15.7,-15.7
9.8,8.1,6.9,-15.7
4.5,6.1,3.5,8.0
11.1,8.7,3.3,10.0
8.9,6.6,9.0,4.1
0.5,5.4,7.0,5.1
8.4,-15.7,6.3,6.6
5.0,4.2,-15.7,2.0
-15.7,6.4,-15.7,-15.7
12.0,-15.7,12.3,11.2
13.5,8.4,10.4,9.2
8.1,-15.7,4.2,3.1
7.1,6.5,4.8,4.6
9.0,-15.7,2.9,7.2
7.6,8.4,7.5,9.3
8.5,7.5,7.2,9.2
-15.7,4.0,9.8,6.7
13.4,6.8,11.5,-15.7
4.3,-15.7,6.5,-15.7
6.2,2.7,2.3,2.4
8.6,7.8,7.1,5.1
6.1,5.6,4.3,6.9
9.9,7.9,7.2,5.2
10.3,9.9,12.8,8.1
11.2,4.3,3.6,3.9
5.0,5.1,2.3,4.9
9.7,9.1,2.5,-15.7
11.7,8.1,5.2,-15.7
6.6,5.6,7.0,8.0
13.1,7.6,5.3,-15.7
8.6,7.6,6.8,8.5
6.4,7.8,4.3,6.1
7.0,6.8,6.1,8.2
7.0,7.5,7.9,7.5
3.4,5.1,6.0,6.2
5.4,3.7,2.6,4.8
9.4,6.1,-15.7,12.1
8.7,7.3,-15.7,8.3
11.9,7.2,8.3,13.1
13.4,8.7,11.4,7.2
12.3,5.6,6.7,6.2
-15.7,-15.7,2.9,6.4
-15.7,4.6,10.1,3.8
-15.7,4.4,5.6,3.5
2.3,3.1,-1.9,4.6
8.2,10.1,8.0,10.2
7.9,4.7,10.4,7.5
9.3,5.1,9.9,6.8
11.0,-15.7,8.4,4.8
11.4,13.1,6.4,7.4
4.7,6.0,4.4,3.8
8.9,8.1,5.7,7.3
7.4,-1.3,4.0,4.6
11.9,3.9,8.7,8.3
8.5,5.0,1.7,5.6
18.3,6.1,8.5,15.7
9.3,6.0,6.9,5.1
10.9,4.0,3.8,3.3
7.8,4.2,6.0,4.7
9.5,3.3,7.1,3.1
13.4,9.5,9.9,11.1
8.3,-15.7,5.1,11.1
7.8,8.4,11.5,8.0
11.4,12.0,5.5,4.9
10.8,2.9,8.5,6.6
6.9,6.2,3.5,7.6
7.9,5.4,-15.7,6.9
11.1,2.9,8.1,5.2
10.2,3.3,3.1,-15.7
17.4,12.4,10.1,11.1
-15.7,6.1,8.6,6.0
9.9,4.2,8.3,6.0
2.9,-15.7,3.2,5.6
10.3,-15.7,4.7,3.1
8.4,8.4,3.7,3.4
9.6,11.1,6.8,8.6
4.4,0.9,4.3,3.3
6.2,7.2,6.0,3.0
3.7,-15.7,-15.7,6.3
1.7,2.7,5.6,2.0
4.5,-15.7,0.9,1.7
5.3,7.6,6.0,-15.7
6.9,-15.7,10.7,-15.7
10.3,6.9,3.9,3.7
7.0,6.0,5.6,-15.7
-15.7,10.9,8.2,7.9
13.4,13.4,8.6,10.9
4.0,6.7,7.0,8.7
11.1,14.2,11.5,-15.7
5.3,3.7,2.0,0.5
-15.7,7.4,10.7,7.2
6.3,4.6,4.0,7.6
11.3,7.6,7.3,8.3
4.4,6.5,9.9,7.0
-15.7,5.7,-15.7,-15.7
-15.7,6.9,9.5,9.5
