level1,level2_fkg,level3_fkg,level4_fkg
5.0,3.3,7.7,2.2
9.6,9.3,10.3,5.9
5.8,7.6,7.9,8.8
10.9,6.9,9.5,5.0
6.0,7.2,9.3,9.0
6.1,5.7,8.3,8.3
1.4,4.1,4.1,4.1
11.3,8.7,8.7,8.7
10.0,8.2,6.8,9.7
10.8,10.3,9.8,8.9
8.0,13.4,5.9,7.9
8.7,8.4,7.0,9.1
8.5,8.9,8.9,7.4
9.3,9.9,13.2,11.9
11.3,7.8,7.8,8.0
4.3,5.7,5.6,5.7
1.7,1.7,1.7,1.7
5.1,5.9,6.1,6.0
7.1,12.4,8.3,11.9
9.9,7.6,7.6,7.6
-0.4,5.3,6.5,5.2
6.5,3.8,4.4,4.4
6.8,7.0,5.2,6.5
9.8,6.8,8.4,6.5
8.2,9.7,8.1,8.3
4.9,11.2,11.1,10.7
7.0,8.6,10.6,18.1
10.3,8.6,9.1,12.6
12.8,9.2,9.2,9.4
5.5,12.6,5.4,6.8
5.3,8.0,7.9,8.0
6.7,8.5,6.7,6.3
9.4,10.7,13.3,11.8
4.1,14.9,15.1,14.1
10.9,11.6,12.9,12.9
9.6,7.7,8.6,7.8
6.7,7.4,6.9,6.8
11.2,11.1,10.5,8.3
11.8,7.9,9.3,10.7
7.7,9.7,8.0,9.8
11.6,12.7,14.2,6.1
9.8,10.6,13.4,13.4
5.9,9.0,8.7,8.3
5.3,5.4,5.5,4.8
7.9,7.8,7.8,7.8
11.4,8.8,9.5,7.7
11.6,12.2,12.1,12.1
13.0,4.7,7.3,7.3
10.4,2.5,5.6,11.7
5.7,4.5,5.1,3.6
7.1,7.3,9.8,7.5
11.0,13.7,10.7,13.0
8.1,8.0,8.9,7.2
10.9,8.5,11.1,11.1
9.1,9.4,9.7,7.7
8.4,4.1,6.7,7.2
7.6,7.6,7.6,7.6
8.1,6.7,10.6,7.1
4.9,6.3,6.3,6.3
5.4,6.7,7.2,8.0
9.2,7.1,6.1,7.3
14.0,2.0,12.2,13.3
12.4,15.2,15.0,15.0
5.6,9.1,9.1,9.1
6.4,6.6,6.6,6.6
14.7,14.9,14.8,14.8
9.9,9.0,9.0,9.0
7.7,5.6,5.6,5.6
8.4,8.9,9.0,9.0
10.6,10.0,10.0,10.0
2.9,1.8,7.3,7.3
6.2,8.7,14.5,14.6
12.0,10.6,10.6,10.5
11.0,11.1,11.2,11.2
6.9,3.3,9.6,7.0
10.8,4.6,11.8,14.3
4.9,12.6,12.1,10.3
7.8,7.3,8.7,10.6
10.1,7.3,6.4,7.4
12.9,14.2,14.2,14.2
9.0,2.0,5.6,10.7
9.0,4.8,10.7,10.7
6.8,6.2,4.7,4.9
10.0,11.1,13.0,12.5
8.3,11.0,10.8,10.8
13.1,13.1,13.1,13.1
8.8,9.8,9.9,9.9
9.2,11.0,10.8,11.2
6.4,9.5,9.5,9.3
10.1,8.9,7.6,8.9
8.8,6.1,6.1,6.1
10.2,9.9,11.5,10.6
9.2,13.7,13.7,14.1
23.9,24.0,24.0,24.0
12.2,10.5,10.4,10.4
8.6,13.0,13.0,13.0
12.0,12.0,12.0,12.0
5.4,6.4,6.4,6.4
8.3,6.8,5.3,7.4
13.4,12.0,9.1,9.7
8.2,16.9,16.9,16.9
9.3,9.0,9.0,11.5
2.7,6.2,7.5,7.5
9.5,2.2,4.4,4.9
9.4,5.9,8.7,5.2
8.0,8.8,5.6,4.9
5.4,11.6,11.3,10.7
9.8,9.8,9.8,9.8
9.9,8.5,9.3,8.2
8.9,14.3,7.7,14.6
11.6,11.9,11.9,11.9
8.1,7.9,9.3,9.3
10.0,10.1,16.6,16.6
4.3,7.1,4.6,2.5
13.5,13.5,13.5,13.5
8.3,8.2,8.2,6.6
9.8,10.3,10.3,10.3
8.9,9.9,9.8,10.3
6.6,9.8,9.7,9.7
8.5,14.2,14.2,14.2
