level1,level2_fkg,level2_cefr,level3_fkg,level3_cefr,level4_fkg,level4_cefr
Amanda and Cindy had changed their lives for a day. A. Amanda and Cindy's story Amanda wanted to do something differently and to try something new.,How were the people interacting with Cindy? A. They were all very happy with the experience. B. They were very nice and relaxed there. C. They were very sociable there.,A. Amanda’s story We changed lives for a day. Amanda (23) a young mother with two daughters swapped lives with her friend Cindy (30) who works as a waitress at a glitzy London restaurant and entertainment complex. A. Cindy’s story,"I didn't like going to restaurants in London where people were crazy and loud, and I enjoyed getting lost. It was a place where I would be able to find something different.",It was a really different and exciting experience! A. Amanda’s story The people were fantastic. A. Amanda’s story I’d never been inside anywhere remotely like it before.,My Grade 2 Reading: I can’t believe how dark and noisy it was - there were so many people and such a brilliant atmosphere.,I was thrilled to be seated in an establishment of such grandeur. There was such a large number of people in an environment that was so intimate and unique.
Georgina Ferry is a British scientist to the Nobel prize jury. For the past four years the only British woman scientist to win a Nobel prize should be a household name in her own country say Georgina Ferry. Why should people in Britain know about Dorothy Hodgkin?,Georgina Ferry is writing about Dorothy Hodgkin because she is a British woman scientist. What does this mean for her? Pick from the following.,Georgina Ferry said that the British woman scientist had won the Nobel prize. She didn't win because she was secretly studying a male who would win. They said that that didn't make sense because she thought the women knew nothing about her achievements.,Georgina Ferry wrote about her own discovery of DNA as she worked on a paper that she said was in the lab and contained his signature. She felt something was not right.,If they tell people I am writing the first biography of Dorothy Hodgkin the eyes light up and they say things like 'Surely there's one already!' they have passed.,"Georgina Ferry wrote about Dorothy Hodgkin to describe the experience. In the text, she describes how Hodgkin taught children the science of detecting odors.",Georgina Ferry's text describes how her friend is introducing her to Dorothy Hodgkin. How does Georgina describe her new biography on Hodgkin in A2?
They are artists whose paintings are designed to deceive the eye by creating the illusion of reality. Sarah Janson is a trompe-l'oeil artist whose paintings are designed to deceive the eye by creating the illusion of reality. She is so self-deprecating that she would almost like you to believe that her trompe-l'oeil works paint themselves.,Jody Williams is a school teacher who works in the visual arts and has shown her artwork in a series of museums. Jody has been praised by the arts society by the New York City art critic Joanna Watt. Jody's artworks have been published on books and reprints. Janson explains that her images represent a representation of the creative process.,"The story begins with the author, Sarah Janson, making her way through the stalls on her homestead on the outskirts of the city. Her work consists of many layers in her own skin; her paintings deceive the eye with the illusion that they are nothing more than fantasy. She is approached by Joanna Watt as the artist whose paintings are designed to deceive the eye by creating the illusion of reality. Janson states that it's not the artist who is important but the work.","The Flesch Kincaid scale is one scale in which art works are created without the artist being involved. The scale is also the Flesch - Kincaid scale in which science, technology, engineering, and mathematics - are included.","The narrative is intended for A2 learners in the LES - A3 level. It is intended to offer context for A1 learners on the LES scale. Whether the audience is a 3rd grader or an advanced level (A1, A2, A3 - A4), this would be an interesting story.",This story concerns a trompe-l'oeil artist whose works are designed to deceive the eye by creating the illusion of reality.,"One of the artists asked to sign works is a trompe-l'oeil artist. The art of being the creator is the subject of the art to be seen and admired, which she does not mind - just the illusion of reality – which is her signature art."
"It is in the second issue that the novel begins, and the three books follow after that. Each entry brings together elements of the earlier entry and takes the reader on a journey.",Grade 2 learners will read a version of The New In Paperback which is intended to be considered an introduction to the book. They should consider this version based on their knowledge of British history and culture as well as their own life experiences.,"A2 learners: To explain the relationship between Harriet and Sheila, we need to introduce them to: 1. Harriet and Sheila are well developed, well-connected, and well-paid employees of a big firm. 2. Harriet and Sheila are both socially stable and well-trained adults, respectively. 3. Harriet is the first family member to have children, and her own business. 4. Harriet has brought her children to school, for example, but she is reluctant to do this without her dad. 5. Harriet lives with her younger siblings, and they are well aware of their lives.","For how many pages can a reader read in a paperback? Then, one can take this passage, the one in which Harriet first finds out the true stories of three main characters.","A2 learners are likely to love the book as a story about human power, history and humour. How is this novel being adapted into a novel?",Grade 2: A. (or) B. (or) C. (or) D. (or). A. (or). D. (or).,An important part of the story is the humour. Harriet is a person with her own business and is well respected. In the novel Harriet attempts to be the most insensitive and unpleasant person she has ever come across.
"Hakan Hardenberger, the eldest son of totally unmusical parents in a country district of southern Sweden, is a trumpet player.",The story is of two boys who become music-lovers in Sweden at the age of 30. The musical genre is becoming one of the hottest in the world and their voices are constantly rising.,A2 learners: A flute isn’t just for Christmas... It is strange how many musicians even leading ones come from homes without music. Out of the blue Hakan Hardenberger the only son of totally unmusical parents in a country district of southern Sweden has at the age of 30 established himself as unique among the world’s trumpet-players today. His records are continually opening up new repertory not just concertos by long-neglected composers of the baroque and classical periods but new works too. When you meet him bright-eyed and good-looking he seems even younger than his years as fresh and open in his manner as the sound of the trumpet.,"After his parents’ disapproval, Hakan Hardenberger started to play the trumpet and played it for several years. When he was 15, he decided to become a professional trumpet player – although his parents refused.",A2 learners in the CFR scale: A2 learners in the A2 scale: A2 learners in the CEFR scale: A2 learners in the A2 scale: A2 learners in the A2 scale: A2 learners in the CEFR scale:,"From this passage, you are learning about Hkan Hardenberger’s record company's plans to create a new sound. We encourage you to learn more about his new creation.","Hakan Hardenberger is a young trumpet-playing, and in the present day, he is the only son of totally unmusical parents from Sweden."
Health farms and country house hotels offering spa facilities report that business is booming. We asked five journalists to check out some of the places that are available.,"It is a common misconception that health farms and country house hotels offer spa facilities. But what about the hotel itself? The hotel's rooms are old, and some are out of date. So why has it gone down hill?",A2 learners would study health farms and country house hotels offering spa facilities that are available. They would also learn about the types of food that are available and how to maintain a healthy body.,"The best places for health & relaxation - including Henlow Grange & Spa. & Spa! | The World's Best Health & Fitness - With lots of choices for beauty treatments and massages, including spas, the best places for health & relaxation",RETREAT RELAX RECHARGE - On Day One I did nothing and slept lots. But from Day Two I started going to body conditioning and doing as many classes as I could (stretch and tone yoga body alignment to name but a few),"“Retreat and relaxation are the best ways to have a relaxing holiday” - S.C.C., ""Recommendation: Rest, relaxation, and rejuvenation at the henlow range of the Grand Revival home.""","All of the journalists reviewed health farms and country house hotels offering spa facilities. In the context of Health Farms and Country House Hotels, there is a major debate over whether people like to go to their family home after a hectic day at work."
"Emma gave her first name in letter. They tried to explain it by letter. The next morning they went to Rouen. They lived at the Hotel de Boulogne and lived with the curtains closed, the doors locked, the floor covered with flowers and iced drinks brought up every morning.","In Grade 1, a thief tries to kill a pigeon on a bridge in England. In Grade 2, a man tries to kill a guinea pigeon, but he cannot kill his own.","Emma was excited about their first meeting in Rouen. She wanted to tell Charles the story. As they walked the streets, she heard Charles's greeting and went up to his desk to say goodbye.","Emma asked Charles to speak to him directly. Then Emma was put on the same wavelength as Emma's brother, Charles. Charles' relationship with Emma was a battle of kindness.","The two had lived a simple life in Rouen with the windows closed and the door locked. They never met, and they never became close to each other.","Emma felt a battle of kindness in her letter. She was happy to hear Charles said this. She went back to her house, woke up in the morning and met with his mother.","Emma was asked to go over to Rouen to speak directly to him. However, she didn't want to do so and Charles, his secretary, said no. She took this in for good measure and agreed to speak to him directly."
A. You’re a better leader than anyone other than your own boss. A. You’ve built the necessary skills. A. You’re able to make the right choice and lead.,A. How to set a good example in an interview. A. How to keep others coming back when an interviewer mentions your achievements. B. Who is a good leader. C. Which books are written about leadership?,A2 learners would understand the importance of giving others the skills to succeed. They would like to use a leader’s message on career development so they can do it better. They would like to see leadership develop the people who will work towards success.,"A. The value of leadership depends on a positive and encouraging atmosphere at work. It is about a strong sense of enthusiasm, an attitude and a strong ability to think critically.",A2 learners in the CEFR scale: Career Power Find the leading edge – motivate yourself to take full control at work. A. What makes a good leader? The most important thing in a good leader is being able to speak out articulately and with conviction in others.,A. What makes a good leader? Read a book to get an idea of what it looks like. Read a story to find the best book in the grade. Read a story to find out how it feels to be a leader. Read a story to find out if it makes a difference.,"A=A2 This narrative is also the same for A1 learners, who were assessed on the CEFR Scale as A2 in the text Assessment as A2 level was: An ELT leader needs to motivate and inspire others. Developing a leader is about helping the person succeed so they can grow their business."
Daniel Goleman shows how he and his colleagues can work together better for success. He calls into question what the person doing the most wrong is doing.,"We now have a new yardstick which looks at how well one can handle themselves and each other. The lesson was based on Daniel Goleman's book, Emotional Intelligence - The Key to Success.",A1 learners will discuss job security and ethics in different ways. A2 learners will discuss personal skills such as communication skills and negotiation skills. A3 learners will share how to deal with uncertainty in the workplace. A4 learners will share how to cope with uncertainty.,The 'People skills' that are essential for a place at the top of your profession. This narrative is intended for Grade 2 learners in the Flesch Kincaid Grade scale. Read it as follows:,Daniel Goleman examined 'the 'people skills' that are essential for a place at the top of your profession'. He examines the 'people skills' that are essential for a place at the top of your profession.,A reader will find that Daniel Goleman examines the 'people skills' that are essential for a place at the top of your profession. This reading is part of a science class that will focus on psychology and related subjects.,"A new yardstick is used for judging those who are likely to be hired and others who are less likely to be passed over, which is the change that goes on behind the scenes of the workplace."
I work at the Credit Card Executive office for a year. The company provides all the staff with training and education. I work Monday to Friday from 07:00 to 8:00.,"I work in an office and it is a very difficult day at times. So I need to be prepared for that in a variety of ways. I manage the development of the credit cards offered by the bank, with the launch of the first programme and the marketing campaign. I also manage the advertising for the membership programme across Europe so I can meet with marketing staff and the advertising agencies.",A = Senior management. A = Senior executives and managers. A = Regulatory Officers. A = Customer Development. A = Marketing Manager. A = Senior communications officer. A = General Manager.,"Four people have worked in the industry since childhood, in the same field as the credit card executive. Six people have worked in the industry since childhood. The three people have worked in different fields from retail management to marketing for an advertising agency.","A: I work 6 hours a day, I usually spend my time working early and going to work early. B: I work late, as an employee I usually have a lot of responsibilities around the clock, I manage the club, and I usually work early in the evening.",A. A. A. Some students go to work in the morning. A. A. Some students go to work in the evening. A. A. Some students go to work in the morning.,"As the executive of a credit card company, I tend to work early in the morning, usually at around 7:30 am, and the rest of the day, usually around 5 am. I manage our main branch and manage all the marketing and advertising across Europe."
