label,level1,level2_fkg,level2_cefr,level3_fkg,level3_cefr,level4_fkg,level4_cefr
A2, Buildings are very strong and last a long time. Some of our buildings can last forever. Many of the people building buildings are old. They've worked in the building for many years., A blue sky above a blue river surrounded by beautiful green grass. People play football in the stadium. People dance at a music concert. Building a building takes a lot of work. People can't just put things together.," This is the beginning of building construction. Builders and laborers build the building. They are the workers on a building. When the building is completed, an inspector from the town council comes and inspects the building. If there is any fault it is fixed. If the building looks good an official comes to take a photo. If there is a new building the town council agrees to fund it.", A builder builds the building by cutting out shapes that look like the outlines of the drawings the architect draws. He or she doesn't worry too much about the shape because he or she doesn't need to know too much about the details of the drawing. A plasterer lays plaster between the blocks of the building. He or she doesn't need to think about anything that the architect doesn't tell him or her and all he or she needs to do is to follow what the architect tells him or her. A stonemason carves the building with a sharp knife. He or she doesn't need to think about what the architect didn't tell him or her. He or she just has to follow what the architect told him or her. The architect is a person that is good at drawing pictures. They make a lot of pictures to show people their ideas. They use them to make buildings.," There are also builders and masons, and men and women who work for building materials like sand, stones and bricks. Some people live in the buildings. When it rains, they are in the floor because the roof is high enough. People watch the sky from the roof."," Then the builder starts work building the building. People use the building to do the things that the architect has decided. The building has people inside who live in it. People also work on a building. It has people inside it. People often ask, ""Who are you?"" Question 1: How do people keep warm and dry? Buildings."," The builder builds the building. They start to build a city and they also build villages. People come to cities to look for something to do. A building is made of lots of things. When a building is made, they are put on a truck and delivered to the town, village, or village to village."
A2, No. 'Thanks for meeting' he said. No. No. The door slammed into him and his arm went round the neck of Paul who looked like he was about to choke him and the door closed. Paul screamed.," Paul then said, 'I promise that I will make my best efforts.' Paul didn't let go of that and did what he could. The people in Dante's Peak stayed and they bought their businesses. When Harry was telling Paul about the trouble of the town, he said, 'Look at that shop over there. I will help it with more money.' Paul said he would do whatever Paul could. Harry laughed and said, 'OK.' Paul made a new best friend."," 'I won't go. My job is in the volcano and I won't go just to be your best man. '
Harry refused to go to the town meeting for Paul's birthday party. Paul was annoyed."," 'But you will learn something if I go. It will help me.' 'Who are they' asked Paul. No one he replied. Just the locals. Paul thought it was a village in his region and he wanted to be their friend. Harry looked around. Not a village. It was a mountain that was half a day walk to the village. He thought it would be a good idea to visit the village. Paul was right. He knew that they would have their shops and businesses. This was a problem for Harry, but he knew there was a problem with money. After he went there, he asked for money because he wanted his clothes to be clean and the food they ate was good. After all, who else could make them smell the flowers? When he was there he found the local woman sitting with a child. She brought him to the village. All the locals were standing around the fire making food for the woman and her child. They were laughing and talking. The local woman was making chicken, bread, sweets, sweets and more sweets. Harry was very impressed by the food and how it smelt. He got back up and started to walk back to his room. When he got to the village he heard a baby crying. He ran over and found the girl with the crying baby. The baby's parents were on the other side of the fire. They didn't see him and didn't hear him. Harry ran over to them and looked at the baby crying, but he couldn't see any of the baby's parents. He asked if anyone was hungry. The little boy was born. Harry was shocked. He was a lucky man. He was a lucky man. He was a lucky man.", Paul said with an expression on his face 'you are the one. Who can help me?' 'You're right' Harry said with a smile., He knew what he had to do. 'I don't think you understand me very well. I have a plan. And this town will know when it is over.' 'Yes' said Paul. 'But how you gonna do that?' 'Because when we leave the town will go.' Harry nodded., No one said anything else. Afterwards Paul said: 'I was right! The people here in Dante's Peak will stay. They have shops and businesses and no one is thinking about volcanoes but only about money. '
A2," It was that way. Not so in present times. 'Well what?' Einon wondered. 'What do you think?' asked his knight. 'Oh I really think that the knights should be ashamed,' said Bowen sternly. 'But sir you know Einon, you were born a commoner and you are still a commoner,' said Einon. 'But I am still a knight,' he repeated with pride."," So they always fought with their hearts. Einon laughed and said, ""Well, I think that you are not such a bad guy, sir Bowen! Just forget the code and fight with your head!"""," The code was a way to keep the peace in the land. It's a beautiful, old code. 'I have a wonderful code, too, Mr. Bowen,' Einon replied. He tried to talk to Bowen but his words fell on deaf ears because he had learned the Old Code well. 'I always try to keep the peace', Einon replied. 'I would like to fight with Bowen, but I can't right now, because I've already been chosen for another battle'. Einon looked at Bowen in the eyes but he didn't hear. 'Beware the arrow, Bowen' cried Einon."," But because of the New Code all knights and knights men were enemies of all their enemies. Now the king has made an alliance with the New Code. All knights men are enemies of all their enemies! Oh my boy! Einon felt sad because his head was in danger. 'Let me go home!' Einon told his uncle Bowen. The uncle said, you can stay here! But Einon got home and sat under the tree. But the knight knew how to use his head. Einon was afraid the knight would fall from his horse. A lot of knights were riding horses. The knight looked up and saw the knight coming out of the tree. He yelled 'Beautiful Knight!' But the knight thought of the Old Code. He jumped down from the tree. The knight thought of the Old Code. He jumped down from the tree. The knight fell from his horse. But the knight never died! When it was very very cold Einon took his coat from the tree. But the knight couldn't hear him. So the knight walked to the house. And Einon thought of the Old Code. He took the coat. He turned up the chimney. And the Knight of the Old Code came. Einon couldn't hear him. 'What are you doing here?' The knight smiled at Einon. He kissed Einon.", There was no time when kings would punish anybody. There was no time when knights would look after their followers. There were no lords or dukes in the world. There was no money. There was no power. There was no fame. There was no money! No knights. No princes. No kings. No dukes. No lords. No...," They lived a peaceful life. But then came this... the Renaissance. In the Renaissance people didn't pay respect to the knights anymore, because they wanted to be treated like kings."," But nowadays they don't trust each other. 'Why?' asked Einon as he put his helmet on. 'I hope not,' he sighed."
A2," They started building houses to live in. What they did next? Build roads to get from village to village, from town to town, and from the countryside to the city. People were moving in and out of villages all day and night.", They started growing food in big fields. The result of that was that food became easier and cheaper to find because they no longer had to hunt. The world started to grow in size.," They learned how to grow plants. The first farming began about 2000 years ago. Most farmers use seeds or plants from the fields and they do not farm in their homes. What type of farming is used today is organic farming, but for many years, organic farming has not been widely used in the US. US organic farming: organic farmers grow their crops using natural methods, without using the use of chemicals, animal hormones or fertilizers in their field, or raising livestock that have been raised without animal hormones or synthetic fertilizers. US organic farmers are organic consumers, and support the growing principles of organic farming. The US organic industry is worth more than $700 billion a year. US agriculture is the largest economic and employment sector of the United States, employing almost 7.5 million. It employs nearly 60% of all Americans, and contributes almost 30% of GDP."," To feed themselves they grew food in gardens. They also made pottery and other items using plants. They had a family life. Farming was their main lifestyle. They had lots of fun. They often made their own music and danced. Today these farmers work in farms, growing crops. They are responsible for most food. Today they are farming for profit. They make good money by growing food."," They used plants for food as well as clothing, animal feed and medicine. People were very busy because the need to provide for their families was very high."," In the beginning, people used small stones for farming and then started using tools to help them work. This was probably the first major change in agriculture. People used the soil to grow the crops they planted. People were first farmers. This was about 6500 years ago. The farmers grew crops on the land which they had owned, or on land belonging to people. The farmer didn't grow crops on property belonging to himself. The story is from a science book. The narrator likes to study agriculture."," They started farming to make sure they had enough food to survive and also to eat the food they were growing. They used manure and crops to fertilise the soil. This helps the plants to grow. The first agriculture system used manure and was known as The Stone Age Agriculture. It was based on plants from the forest that were found and grown in the ground. Manure and other fertiliser were not the only means of growing crops. In Ancient Greece and Rome manure and crops were added to soil to improve fertility and increase crop yield. Today agriculture is based on similar principles but there are some slight changes in how it is grown and harvested. A modern agriculture system is an organised one. It is used to produce different types of crops that are required for the world to survive. In modern agriculture people use chemicals to increase yields. The first agriculture system, known as the Stone Age Agriculture was mostly organic and natural. It used natural fertilizers, grew plants from the forest and used manure. There were few crops and there were no modern machinery. The Stone Age Agriculture is the modern agriculture system which we will talk about in class. What can we learn about the modern agriculture system? It is organic and natural."
A2, But in the summer they can only sit under the ice to relax. The fish that stay in their little houses are called Ice-Fish. They are much smaller than the fish that live on the lake. They live there for nine months every year. Then they return to the sea.," They spend the winter months fishing, and in the summer they make money selling their catch to restaurants and restaurants. The lakes are full in the winter when the fish are caught. They are empty in the summer because they have no food to catch."," They are called ICE-FISHING. Forget about the fishing boat. This is winter. People are using big trucks and moving in huge numbers to bring winter in Canada. The people have left the place. In autumn, thousands of people travel to the lake each year in their own small boats to enjoy the beauty of autumn on the lake. Winter is a beautiful thing."," In summer the fish are more abundant. For two weeks every year Lake Nipissing holds a major festival called ""Fishing for Fish"". This festival is a huge opportunity for Canadian fishermen to sell their catch. This is why Lake Nipissing attracts them every year.", They call itICE FISHING. Lots of fish in small boats. I like the ice fishing at my home lake. I want to go to Canada in winter to learn how to fish there.," I feel that there are a lot of words, sentences and syllables in this text. Flesch-Kincaid Grade Level: Level 2.", - Canadian Government Tourism and Recreation Ministry. Canadian Government Tourism and Recreation Ministry. - Canadian Government Tourism and Recreation Ministry. - Canadian Government Tourism and Recreation Ministry. - Canadian Government Tourism and Recreation Ministry. - Canadian Government Tourism and Recreation Ministry. - Canadian Government Tourism and Recreation Ministry. - Canadian Government Tourism and Recreation Ministry. - Canadian Government Tourism and Recreation Ministry. - Canadian Government Tourism and Recreation Ministry. - Canadian Government Tourism and Recreation Ministry. - Canadian Government Tourism and Recreation Ministry. - Canadian Government Tourism and Recreation Ministry. - Canadian Government Tourism and Recreation Ministry. - Canadian Government Tourism and Recreation Ministry. - Canadian Government Tourism and Recreation Ministry. - Canadian Government Tourism and Recreation Ministry. - Canadian Government Tourism and Recreation Ministry. - Canadian Government Tourism and Recreation Ministry. - Canadian Government Tourism and Recreation Ministry. - Canadian Government Tourism and Recreation Ministry. - Canadian Government Tourism and Recreation Ministry. - Canadian Government Tourism and Recreation Ministry. - Canadian Government Tourism and Recreation Ministry. - Canadian Government Tourism and Recreation Ministry. - Canadian Government Tourism and Recreation Ministry. - Canadian Government Tourism and Recreation Ministry. - Canadian Government Tourism and Recreation Ministry. - Canadian Government Tourism and Recreation Ministry. - Canadian Government Tourism and Recreation Ministry. - Canadian Government Tourism and Recreation Ministry. - Canadian Government Tourism and Recreation Ministry. - Canadian Government Tourism and Recreation Ministry.
A2,"') Then he looked up, and shouted: ' No! ' He stepped into the corn and began to beat the corn. Then he saw me. I began to cry. What did the boy do for a living?"," ') It was a small bird. It walked away. The man continued to stare. For the next minute he looked at me, and then he said, ' It is not going to hurt you. '","') This time, the man said to me gently, 'Give it another thought.' I was angry and decided to kill him. When the man came back to me I told him what I'd done. 'I did it,' he said. 'Why didn't you try to warn me first?' I wanted to know what it was with the big man in the corn. I couldn't find my own way out, so I killed him.",') Then he stepped forward again. The foot touched the top of the head (you are going to see my foot!). He walked away. A big man and a small boy sat on the edge of a corn field and ate., ') What does it feel like when you are frightened? To be safe is not always comfortable. Question: What does the man think is going to kill him? His foot,')  A writer's first sentence should be in the Flesch-Kincaid Grade Level scale. No. 1.1  How many sentences have you? Fifty. There are five sentences in total. What number is the total number of words? 764. How many syllables is one word in this text? 20  Words: 694 Total sentences: 50 Total syllables: 20 Grade 1.2 Words: 694 Total sentences: 50 Total syllables: 20," Will it sting me?') W I started to shout loudly: ' His hand is going to kill me ! ' The man stopped. He turned to me and added: ' Would you like a bowl of corn? ' The man did not know that I had heard him and looked up in his direction. ' Who is eating this corn?' the man asked. Then he sat down and began to eat corn. The man did not know that I had heard him and looked up in his direction again. (The speaker, who knows the man, can tell from the first and second sentences that the man has had a dream.)"
A2," D Brown, Operations Manager, Sainsbury's Ltd. C hristmas & new year - 22.02.02 New Year & Christmas - 20.01.02", D Brown. Memo to everyone: I am going to take holiday next year. It is probably from late February to end of March. It will be my last holiday in the office for two years. The other three times I have taken holiday. I have not taken holiday as I take holiday for a week every time. D Brown.," D Brown February 22, 2002 D Brown, Ms. Jane Smith, and all staff. I am planning the holidays for next year. Please tell me when you would like to take your holiday. If possible could you give me two dates? Please give me your answer by the end of the month."," D Brown, ARC CBE CFCs Thank you D Brown. If you had to choose, I would prefer to start next year at the end of November. I was hoping your vacation days would be from end of November to start of January.", D Brown D Brown D Brown D Brown D Brown D Brown D Brown D Brown D Brown D Brown D Brown D Brown D Brown D Brown D Brown D Brown D Brown D Brown D Brown D Brown D Brown D Brown D Brown D Brown D Brown D Brown D Brown," D Brown, Business Manager D. Brown, Business Manager Memo From: D Brown Date: 22.2.02 Do you want a refund or do you want your order back? I have read your email.", D Brown - CEFR B2I B CCEF B2I B 2.2.02 D Brown - CEFR B1A B CCEF B1A B 2.2.02 D Brown
A2," On her way back, they cross a bridge in which David also has to go. Her and her friends watch the bridge and talk about all the strange happenings. They see a ghost appear and disappear and they get attacked by a strange creature. As they drive back, they pass a bookstore and David takes a book called 'The long night.'", They don't know each other. It is a dark night. The baby's condition deteriorates. In the morning the baby dies. But the baby's mother wants to write to her son. That's why the little girl does not leave the bed. The baby's mother writes the letter. She writes that the boy is happy with the book he has written. When she is writing the letter she reads it backwards. He is happy that the book has been translated into English by David Reilly. She then sends her son the letter. David wrote the book. Maha," David, who was also a teacher, tells his wife about the baby and they write a novel. David writes the novel, which is a long one. Reilly has written another book. This is his second book. The Long Night Reilly wrote more than one book."," She wakes up one morning. She finds out she has had a miscarriage. David, the man she married, is in the hospital. He helps her get over her grief and encourages her to go on.", A man on a motorbike takes Mahas baby. She is unable to find a bike. At night the baby is very ill. She has to drive home to the hospital. She loses the baby. This is David's first book. David teaches English. She has read the story on Amazon and thinks it's written well. She is very curious about it.," Reilly was her schoolmate. Maha is a writer too so she sent the book to Reilly to read for her students. All of this is in total Flesch-Kincaid Grades: total words 10, total sentences 5 and total syllables 15. Total syllables: 3 syllables per word. The words are the following: total words 10 total sentences 5 total syllables 15 total words 10 total sentences 5 total syllables 15 total words 10 total sentences 5 total syllables 15 total words 10 total sentences 5 total syllables 15 total words 10 total sentences 5 total syllables 15 total words 10 total sentences 5 total syllables 15 total words 10 total sentences 5 total syllables 15", David Reilly is a famous writer. He is married and has one son. It is the first time that David has written a book. It was hard for David. David Reilly wrote this book on David Reilly's first day at his new job in his new city. His boss doesn't like him and says that he needs to learn English. David Reilly can't understand what his boss says. His boss wants David to learn English in six months. David is not sure about himself. He's not sure how he will do in English. He has to learn his English in six months. David Reilly has to drive all night to a hospital to see a baby in poor health. He writes a short story about it and publishes it on the internet. The boss of the writer doesn't like David. He says he needs to learn English. David can't understand what his boss says and his boss wants him to learn English in six months.
A2, Tigers will often lie in a pool of water when it is hot! Tigers will often lie in a pool of water when it is hot! Tigers often lie in a pool of water when it is hot! Tigers will often lie in a pool of water when it is hot! Tigers will often lie in a pool of water when it is hot! Tigers often lie in a pool of water when it is hot! Tigers often lie in a pool of water when it is hot! Tigers, There are a lot of cats. They all live together in a special big cat zoo. The cats live together under one roof. They are called: Big cats," Most cats don't like to be shaved but tigers like to have their fur trimmed. Tiger's teeth like a razor blade. Tigers are dangerous. Tigers have four legs that they use for jumping. Tigers like to play with their prey. Tigers live to be 100 years old. Tigers aren't nice animals. Tigers have two big eyes. Tigers like to play! Tigers are in the same group as lions, tigers, jaguars, pumas, and hyenas. Tigers are one of the largest cats."," There are many other different kinds of cats. They eat different kinds of food. Some cats are vegetarian. Tigers, for example, eat lots of fruit and nuts. They also eat lizards. But tigers are not the only big cats. Tigers, of course, aren't the only big cats. Other big cats include: bears, lions, and tigers. Big cats like lots of water. Most of them are big enough to swim. The biggest is a tiger called Simba. Simba will swim at speeds of up to 90km/h (60mph) underwater and he can jump from one metre to 10 metres (33ft to 333ft) high."," They eat all kinds of foods, including meat, vegetables, fruits, and mushrooms. Tigers often live in forests. They are good at climbing. Tigers do not have many other big cats with them, they can be found only in the middle of the forests."," total words = 100 total sentences = 20 total syllables = 200 The cat looks to the trees to get the most shade, and it will stay there until the sun goes down, when it will move to the other side of the tree. Big cats No animals are bigger than tigers. Some species can be as tall as a house and weigh as much as a large goat. Tigers are the only big cats. They live in Asia, Africa, and Australia. total words = 100 total sentences = 20 total syllables = 200 The cat likes grass. It likes to eat the grass on a tree, and it also likes to eat fruit if it has any on the tree. Total words = 150 total sentences = 30 total syllables = 200 The cat likes to hunt and eat. The cat will hide under a rock so it can look for prey. total words = 150 total sentences = 30 total syllables = 200"," Tigers, cats and elephants are all big cats but tigers and elephants live in different places and tigers live in the wild in Asia and in Africa. Tigers live in Africa while elephants live in Asia. Tigers and elephants are big cats. They like to swim. Tigers are the biggest cats. Tigers cannot jump high but they can jump across cliffs and into water. Tigers are the biggest cats. Tigers live in Africa, Asia and Australia. Tigers can lie in a pool of water when it is hot but they will often lie in a pool of water when it is cold. Tigers, elephants and cats are all big cats. Tigers have big eyes and big teeth. Tigers can jump over cliffs and into water. Tigers are the biggest cats. Tigers live in Africa, Asia and Australia. Tigers can't jump high. Tigers have big eyes and big teeth. Tigers can jump over cliffs and into water. Tigers are the biggest cats. Tigers live in Africa, Asia and Australia. Tigers can't jump high. Tigers have big eyes and big teeth. Tigers can jump over cliffs and into water. Tigers are the biggest cats. Tigers live in Africa, Asia and Australia. Tigers can't jump high. Tigers have big eyes and big teeth. Tigers can jump over cliffs and into water. Tigers are the biggest cats. Tigers live in Africa, Asia and Australia. Tigers can't jump high. Tigers have big eyes and big teeth. Tigers can jump over cliffs and into water. Tigers are the biggest cats. Tigers live in Africa, Asia and Australia. Tigers can't jump high. Tigers have big eyes and big teeth. Tigers can jump over cliffs and into water. Tigers are the biggest cats. Tigers live in Africa, Asia and Australia. Tigers can't jump high. Tigers have big eyes and big teeth. Tigers can jump over cliffs and into water. Tigers are the biggest cats. Tigers live in Africa, Asia and Australia."
A2," 'Why didn't you answer my telephone?' Silvia replied 'I just couldn't answer it.'
Silvia's boyfriend was away. When she was not on the phone to him, she was always on the phone with him. Gabriel had a phone that could call anybody without an internet connection. Silvia's friend had the same phone as Gabriel and he could talk on a phone.", Marco thought that maybe she had been angry with him. He decided to get a drink at the bar. He went to the bar to find out. The barman looked at him funny. A man asked him 'Where are you from'?, 'I'm so sorry for what happened' she said 'I hate that I didn't answer your calls.' Then she began to cry. Marco stopped and went inside.," 'Why are you looking so miserable?' Silvia answered to Marco. They started a fight. 'Why are you upset?' 'I'm not upset,' Silvia answered firmly. 'Aren't you unhappy?' 'I'm just glad to see you here,' Silvia said.", 'Hi...' she said 'hi' but she didn't say anything else. The flat was very dirty. Marco left. He walked slowly towards the bus stop.," Marco left. Marco left and left and left and left, left and left, left and left, left and left, left and left, left and left, left and left, left and left, left and left, left and left, left and left, left and left, left and left, left and left, left and left, left and left, left and left, left and left, left and left, left and left, left and left, left and left, left and left, left and left, left and left, left and left", 'Shall I wait for you on the door?' asked Marco. 'Yes' Silvia said. She got into her dress and opened the door for Marco. She put on a scarf and a hat. It was her usual look.
