label,level1,level2_fkg,level2_cefr,level3_fkg,level3_cefr,level4_fkg,level4_cefr
A2,"We are building a new school at the old school. This year our team is building a home. We have many people working together on the building. We need buildings to keep us warm and dry, stadiums to keep us warm and dry, and other things to keep beautiful things in. The architect decides how the building is going to look and draws pictures that show people his or her ideas.",People have always made houses. People have always built homes so we can watch football matches and pop concerts. We need houses to keep us warm and dry and we build stadiums so we can watch football matches and pop concerts. People have always built houses to keep us warm and dry and we build stadiums so we can watch football matches and pop concerts. We use other buildings like museums to keep beautiful things in. The architect decides how the building is going to look and draws pictures that show people his or her ideas.,"The architect has made many homes for many people. Some of us only have one house, but we also have a few other people in our family who are building. We also build statues and buildings for the streets and schools to tell kids of the past. Some people have a unique idea of how to build a building. Some people even build a small church.","The people make buildings. People have always made buildings. They have built homes, stadiums, and other things. We use other buildings like museums to keep beautiful things in. The architects decide how the building is going to look and draws pictures that show people his or her ideas.",The people in our community always build structures. What do we build houses to keep warm? Buildings make us warm and dry but they also keep things very interesting. What are some things you can do when you are in the rain?,People have always made houses. Many people have always made houses. One person likes to build a house more than other people. Another likes to make a house more beautiful than others. Then one person brings his or her ideas and teaches them the following things.,At first people didn't want buildings. They wanted houses. At first they looked at houses. Then they looked at soccer matches. They looked at stadiums. They looked at concerts. They looked at baseball games. People have always built buildings. People are building houses to keep us warm and dry.
A2,Paul and Harry are friends. Harry stayed at Dante's Peak for some romantic evening. Harry was excited as he thought he'd go on a trip to Dante's Peak. Paul came but got worried he'd never go. After about an hour Harry walked out. He thought it was all a dream. 'Yes' said Harry with a smile.,"Paul asked Harry if he'd be going to the mountains with Paul. Harry said, 'I'd rather go'. Harry's best friend told him. Harry had already gotten some money. A mountain town has problems. Harry told Paul.","Paul visited a volcano in Dante's Peak. He was looking forward to the moment he was there. His family had been in the area for a year and he wanted to spend time with them. Before leaving, he talked to the local people in Dante's Peak. Harry thought the people seemed to have a great deal of fun doing some of the things that Dante's Peak had to offer.",Paul and Harry want to go on a trip to Dante's Peak with Paul. So they go. But Harry doesn't want to go. He says there's nothing else.,Paul and Harry were walking from the Dante's Peak lodge. They sat and talked about what happened to their town. They wanted to take a hike. Paul and Harry had a little to chat about before they headed back to the lodge.,"The children were excited to have a trip in the mountains. They wanted to try it on and wanted to see the mountains at the same time. The school did not have anything to do with the trip. There were no roads, there were no bridges, there was no air, a tavern, not a volcano, and a local newspaper. The teacher wanted to teach the kids about volcanoes and volcanoes. At first they thought it was their problem. After a while they were told to walk back up the mountain. The kids got excited and decided to have a picnic. They went to the beach to get some food and look at the sunset.","The old town had a new town called Dante's Peak. Now Harry, Paul and Paul are going to live a nice life at Dante's Peak in the area. Harry's best friend Paul lives nearby. Paul and Harry will be there later."
A2,"Einon was born a little too young to be considered a Knight of the Old Code. He has only one leg and he is still rather tall. He lives in a tavern near the centre of town. He has taken the rank of robber, but has never been able to fight. One day Einon's father got his child and asked him to take care of him. In an angry tone, he blamed his father for being irresponsible. He had no patience or care for Einon despite his fear of danger. When Einon woke up in the morning, he refused to fight. He felt a bit embarrassed. His father had told him his goal was to be the Old Code knight. This day Einon's teacher named Bea recited the Old Code to him. The teacher asked his son to tell Einon what was happening. This prompted Einon to do his best to learn the code. He learned to fight by practicing.","Einon was born with a head full of worms. To fight with his head, Einon threw him into the ring of worms. At this time, Einon had little to do but eat to keep from getting sick. When he got to the ring, Einon threw the worms and fell from the tree. He fell on the tree stump and was found dead in the forest. The kings, princes and knights then tried to keep the old code for years. When the old code was made, the knights told Einon that he was an old knight. The knights finally succeeded and Einon was saved.","Einon was a hardened criminal who could not use his magic to break things. There was no chance he would ever succeed, until an old priest told Einon to take the fight seriously. He learned the fighting with his head and head. Einon could not let his fear of losing his heart entrail him.",Einon was a great fighter and thought he was a good fighter. He did not believe that the old code was used to train people. The old code was not used to teach people how to fight. A knight was hired to teach Einon how to fight. Einon was told the code was used to teach people how to beat the bad guys. The old code and practice gave Einon much success in fighting.,"The knights fought many times to help Einon fight for his life. The king fought in the battles. There were three princes, and a lot of kings. The other two had fallen. The princes were great in fighting. The princes had a great lord and a king.","Einon and his father lived in a country called Pharaoh's Country. Einon lived in a country with kings and princes. The kings knew Einon's stories. One day in the old part of Europe, Einon died. The king cried and cried, and called for his father to be his king. The king fought with the kings' army. He ordered the king to take the king's soldiers as soldiers to make him a Knight. The king wanted the king to help him. He didn't want a knight to help him. But he did. The king's army came back and attacked Einon. The king fought and fought the king's soldiers, but they were able to save Einon. In the Old Code, the knight was called Knight.","Einon was a child and didn't know how to fight. When he was one year old, a king knight renamed him the Knights of the Old Code. He had been trained to fight as knight in a hive. Bowen learned the code as a boy by reading a book. He decided to teach Einon the Old Code."
A2,In 12000 BC people in the Middle East were moving all the time to find food. They began to grow food. Before people started farming they went to the forest to look for plants or fruit they could eat. This meant that people were moving all the time to find food. But about 12000 years ago in the Middle East people began to grow food. These people were the first farmers.,People began farming about 12000 years ago. At first people would go to the forest to find plants or fruit they could eat. But when people first started farming they went to the forest to look for plants or fruit they could eat. This meant that people were moving all the time to find food. But about 12000 years ago in the Middle East people began to grow food. These people were the first farmers.,About 12000 years ago in the Middle East people began to grow food. Their only place to grow food was the forest. They went to the hay for food. They were moving all the time to find the food they needed. During the last centuries people were farmers. They were pioneers in farming.,People in the Middle East once were very much familiar with their environment. They ate what they could afford and took their vegetables to eat. But about 12000 years ago they began to grow food in the Middle East. They were the first farmers.,It was about 12000 years ago. The first farmers built a windmill. They planted some trees in their gardens to keep the fruit and vegetables fresh. But most people did not have any access to a source of fruits to plant or eat. The climate remained cold and dangerous - there were no people with trees to raise crops in the area. They could only have picked at certain times of day and night to grow crops. The farmers were likely to be unsatisfied.,"The Middle East was the first country in Africa. The first farmers did not know of their origins in agriculture or were not allowed to grow anything for a living. There were no land hills and mountains and forests. Eventually there was no way for the people to grow food and therefore they didn't survive any longer. The farmers were not able to support themselves from the water or the soil. They also tried to acclimate themselves to the changing environment. They built houses with doors to make their houses more stable and secure. This is how many years ago in the Middle East people started to grow food, and they were the first farmers.","The Middle East sat in the middle of the Mediterranean in the middle of the Middle Ages. In 12000 BC there was a strong mercantile movement. Many of the people took part in the harvest, such as a woman and her son, to harvest or harvest the crops. The people were moving all the time, which was to be difficult, as they didn't have enough room for food. Now farmers were growing food that farmers could sell in the market. The Middle East is not the only place in the Middle East where farmers are working with food. The middle East was famous for growing crops such as apples, bananas, and kiwi. In Central Asia in the Middle East, there was a strong confluence of cultures in the West and in other places. Most cultures took part in the harvest. One of these cultures, Zhouji, was the first to grow apples. This brought food to the people and farmers, and allowed them to have food they could eat. In the middle of the Middle East, there was a strong trade in wheat, beans, and other crops to feed their slaves. The main agricultural revolution was in Egypt, where the first farmers turned to agriculture."
A2,"One day, we go to the ice fishing spot in Canada. We can see the small houses being made of wood and building some kind of houses. On this day, we're surprised to find there are so many big houses! It's hard to imagine it happening every week! But, as we've been to every other lake in the world, this is one of the local sights, especially on the ice. The place looks like it's been frozen out in the snow. The place is full of people, and you can see that the area is hot when it starts to look like it's freezing. They make their own houses, and sometimes people just sit inside. So, this is what they do to catch the fish!","This is an interesting story about children swimming under water. On a hot summer day, most of the people are still swimming. However, a strange thing happens to one of their scuba divers. They find that they can't make any progress. The scuba divers decide to swim slowly away from their bodies while the water slowly warms up to their right side. If they fall back to the bottom, they slowly sink to their sides and begin to swim. The scuba divers then try to float over the water so that the scuba divers can see them. This way, the scuba divers know they have sunk and have swum out to the surface. This makes the scuba divers more likely to come back to their body.","Lake Nipissing has become ice and Canada's people spend three hours fishing on the lake. They build little houses on the ice, decorate them, and swim. At the start of a season, Canadian fishermen begin to fish every weekend.","Lake Nipissing is a lake near Canada. The lake covers a huge area. It is covered in ice covered houses. Fish are roosting in the ice. The cottages are very modern and large. They are also large enough to hold big fish. The cottages are all very simple. They are just one dummy cottage. The cottages are in small, icy spots, near ice-covered lakes. A large pond lies over the cottages. The cottages are not too small, so they can accommodate a bigger boat. A migratory boat is not allowed. This is difficult and difficult. The dockyards have a small dock that can hold boats and fishing equipment. They are very easy to find. Most cottages have little fishing boats but there are many. They often fish in the lake during the winter. One small fishing boat is used, but they do not catch any fish.",A fishing village is a small village near Lake Nipissing in the Lake Nipissing Municipality in Manitoba. Many of the little houses in the icehouses were built by locals and fishermen who came to catch fish. One of the little houses is covered in a colourful pattern. The small fish have a green color and are shaped like tiny houses made of green paint or wooden blocks. One woman found a small pot filled with seeds and she took a plastic container to pick it up. Each week thousands of fishermen build their houses in the icehouses to catch fish.,"This is a beautiful lake and its beautiful colours remind us of nature. But, at Lake Nipissing, there are many things to do except for the snow. If you decide to drive north from Toronto, you will have to do some skiing. The lake becomes ice and thousands of fishermen travel there each weekend. You are lucky because the ice is so large you can only see one side of the lake. This is what they do with the little houses. Then you sit inside and catch the fish that swim under the ice.","I drive from Toronto to Lake Nipissing. The lake becomes ice, and thousands of fishermen play ice-fishing around it. The lake becomes ice when the fishermen paint their houses with bright colours. This helps them catch the fish that swim underneath the ice. In the lake there are some lakes that have ice houses on them, and several lakes that are ice-fishing places. In the winter the lake becomes ice and thousands of Canadian fishermen travel there each weekend."
A2,"My dog ate corn. She ran to the ostrich enclosure and ate it. Her feces were burnt. Her feet were scratched on the ground and her feces were dripping. The big man then turned and turned and looked around. I pointed at the big man as if she had bitten it too. He walked away. After a few minutes, the big man was gone.",A giraffe came into the house. The man was looking at me and looked around me. He saw the big man but he looked away. I was afraid the giraffe was going to kill me.,"The man was hungry and wanted a meal. So he walked to the man. I began to shout loudly. I heard a knock on the door. The man stared back at me. For a minute, he looked down at me carefully. It seemed that the other man was not at all hungry.","My mother is doing a tan while I plant some corn on the ground. She's having trouble keeping track of her children. When she hears, she runs around trying to find her mommy. The man looks at me with anger.","I grew up in a small and squid-like enclosure in an area of the kitchen. I had a long-term memory about it after college. One summer, the corn was being grown by an animal shelter. I was not a farmer but a farmer because the farm was very big and there was a large amount of corn. I kept the corn warm and started making a cinnamon corn bread. Then I learned that my foot had an effect on my brain. The big man suddenly became scared of his foot. I quickly explained to him the damage it was causing. He stopped at a table and stopped eating. I walked back outside, but a frightened man saw me rushing down the street. I then got up and shouted out, ""I heard him walking in the corn!!"". The big man stopped at the table and looked down at me. He snatched me up, then ran away. He looked at me carefully. I told him the end. I listened closely to his shouting, then put his feet on the ground and walked away.",I have been eating fennel and the corn for the past few days. I was hungry enough to eat fennel that day. My body was very full. But I was trying to eat fennel. And I began to shout loudly at him. Now I'm really sad but not angry.,"I was looking for a new toy. My dad bought me an orange sand castle. I climbed it, made friends, and sat in my chair and talked to it while watching it from the window. It was so exciting! The man wanted to kill me, but he refused. Eventually a snake bit the top of the toy, and the man made fun of me! The toy ran out, then the man stopped."
A2,"D Brown wanted to take his holiday in December. He did not want to spend his holiday on the beach. So he asked if he could help out on Saturday. I told him he wished he could work on Wednesday. He could do anything on Monday. The holiday begins at 1 a.m.. If I get the correct time, I will make arrangements.","It is a sunny day and there is a storm coming in from outside. We need to bring in a blanket on the ground to protect the trees. It takes a lot of pressure to bring in a blanket on the ground. However, the storm did not last long. We would like to bring in a blanket for the trees so we can use our blanket on the ground. Then the weatherman would arrive and say it was time to pick it up. When D Brown came out the door to the porch to ask for help, we went outside and found a large snowstorm! We sat outside and watched the snow storm quickly move through the trees. He said it was not an important day for the tree so we would go outside and take a blanket. Several people in our group were gathered and gathered around the snow. We were putting together blankets for a blanket to move in the snow. Then the snowman started to start falling on the snow-covered ground. We went outside to help out the snow-covered trees. He threw the blankets out the window, grabbed a blanket and threw it in the snow for his blanket. When the snowman came out to help him lay down, the blankets hung on the wood. We made our snow-covered floors a safety net to help break the tree. The snowstorm started to fall. Eventually, all of the snow fell down and the trees were all bare. We did a big, heavy storm. I stayed inside and waited for the snowman to come to the snow-covered ground. The snowman slipped through a window to help it fall. He couldn't see anything. We tried to put the blankets down but nothing had worked. He was still there and saw the snowman. He tried to keep the snowman's head buried in the snow. He had to wait several more minutes. He tripped and fell back into the snow. As we were leaving he climbed down a snowman's face in the snow-covered snow. The snowman was still alive but with his head injured. The snowman was nowhere to be seen. Then it snowed again. I saw the snowman fell in the snow. We did a small snowman's face as he fell down the snowman's face. We sat outside for about ten minutes to help save the snowman's life. We had very little snow and then the snowman disappeared.","D Brown was a senior at the university. During his visit, he saw students all over the world. D talked about school, holidays, and other things. He sat down to talk. When you left, my answer was two dates. Please tell me the two dates your answer is by the end of the month.",D Brown and his friends are celebrating the holidays this year. They are planning to come and take their vacation on a Saturday. D wants you to come on the weekend. He doesn't have the money.,D Brown is going to go with her colleagues this coming weekend. When? D and D will decide between next week and next month. We will try to arrange the weekends. Thanks.,D Brown is in charge of the holidays. He has been giving the team dates as well as other holiday information. He would like to give you a call when he knows.,I have been wondering about the holidays since I had one for many years. I decided to give them a try. The holiday was a great success so I took the chance to ask all the students to do the same! We had a lot of fun planning. I know when the holiday will be and I'll let you know how it goes.
A2,David became a writer after teaching English for several years. He went to Northern Australia to get a teaching job. He worked in a small hospital and loved this job. Maha has to drive all night to get her to the nearest big city. Maha likes driving the baby all night to get to the nearest big city. It's a good way to get to Australia.,Her husband Tom lives with his wife in Brisbane and he has three daughters. They are very poor and very poor. Tom wants to buy a new boat and a farmland for her and his sons. He asks if the baby is going to sleep in a hospital. He says it is not. But the baby turns out to be a familar baby. Tom is very glad to hear it.,"Maha is a nurse in northern Australia. As a nurse, she works in a small hospital. One day, Maha has to drive all night to the nearest big city to get her to the nearest big city. One day, Maha has to drive all night to get her to the nearest big city to stop it from getting sick.",Maha is a nurse in a small hospital in northern Australia and has a sick baby. One day a baby is so ill that Maha has to drive all night to get her to the nearest big city. One day Maha has to drive all night to get her to the nearest big city to check on her baby.,"Maha's daughter was diagnosed with a rare illness and was looking forward to her recovery after surgery. But after many years of study, she has not been able to live with it. She has now been re-located with a new job. When Maha gets home, her nurse says to go in to look for help. She goes to get her medication but, not knowing anything, Maha runs out of it.",Maha is a nurse in northern Australia where she works in a small hospital where she helps children. A baby is so ill that Maha is going to drive her to the nearest big city to see her baby. Her baby is going to be devastated but Maha can't help it. Her husband is very rich and she is very nervous. Maha cannot wait to get to the big city.,"Maha is a nurse at a small hospital that has a lot of patients. On a recent holiday she has a baby baby girl who is on an eating diet and she had to drive to the local big city to give birth to the baby. After that baby girl falls into a ward with a lot of trouble and starts to bleed. Maha and her family decide to go to the local hospital. Maha and her son take a night-shift at the local hospital and she takes their baby girl to the baby's nursery for some tests and cleaning. Once she is there, the baby girl grows and turns and a new doctor comes in and checks on her. She finds that the child is not happy and tells Maha she needs to go to Australia. Maha and her son travel to the big city every day to have her baby."
A2,Tigers are the biggest cats! When I was a child I had no idea there was so many cats out there! Besides being big they ate their food without any concern of hunger. There are a great number of cats - many cute looking. Tigers are my favourite cat!,"Tigers are the biggest cats we have known in the world and they usually stay put in their habitat. They have very long tails and do not like water but are very cool. Tigers often stay in their habitat in lakes and pools. There are many different kinds of cats including tigers. Tigers look like dogs but they don't have long tails or large feet.. The reason most cats don't like water is that they get hot in the day. If you can imagine a tiger on a lake, he can get down to the ground and swim in the water. Tigers also lie in a pool of water in their habitat and have no issues getting up. The tigers sometimes lie in the water to cool off.",What do cats do?,"There are many kinds of big cats to choose from. The big cats are mainly called tigers and cats have huge necks and long tails that make them look bigger. Tigers are small and are not crooked. There are cats in groups of 3 and 3 but all of them have different body parts like thighs, tail, thighs, and bones. The largest cats that live in group are the Big Cats and can live for up to four years. Many cats that live in small groups often find water and rest in a small pool. Tigers do not like water because their legs are bigger than most cats. Tigers are small but they are very agile and powerful so they can survive their long-distance troughs. They are especially popular with children.",Tigers are the biggest cats in the world. They are huge cats with big necks and head. Some of the biggest cats don't like water but tigers do and they swim to get some.,"After a night in a park, there are several cats out there. The cat owner was happy to see her cat, and the owner is happy to see her big cat. The cat is 3.7m long and has a very cute body!",Two tigers were sitting in an unpaved area next to an aqueduct. They walked in a large area. The area was very hot. Tigers were standing in a large area. The tigers kept eating grass. There were a lot of people in the area. They were trying to look attractive. They all walked very slowly to get along. They were playing a game of cat and tiger. The cats did not look like tigers. Tigers were able to eat and drink grass! The cats were very happy. They were enjoying the cool water they were in and making their meals.
A2,Gabriel went to the flat where Silvia lived. He wanted to do something so he put the door open. Gabriel asked to go and help his friend with the door. Gabriel said no. 'Silvia dear' marco said.,"Gabriel is leaving the flat in the summer. It's the summer of the young, happy and young. Gabriel's new boyfriend, Gabriel, left, because of Gabriel's new girlfriend, Silvia, who wanted to find a new life. Gabriel had to put in a long wait. Gabriel was angry, but he didn't want to give in to him. When Gabriel asked Gabriel if he knew his girlfriend's girlfriend, he said'sorry, no, he didn't think she would notice'. When Gabriel told the young, beautiful young woman 'you're so clumsy, are you?', she told him. Gabriel ran back to her, but she wasn't the only one upset. Gabriel was really sad, but he still wanted to make sure it was not a mistake and she would never see another woman.",Gabriel entered Silvia's flat. He asked her to open it. She didn't but Marco said he'd do it for her. Gabriel stood by the door and stared at Silvia. Marco went to pick up his clothes and a shoe.,"Marco was leaving for a school trip. He looked at his clothes and didn't know what to wear. Gabriel was leaving the town by himself. Suddenly, Silvia was suddenly frightened when his shoes and clothes laced with fur came unobtrusively out of sight. Marco stood a momentarily silently at her to ask her if she liked himself. She then looked away and walked off. She looked happy when Gabriel came over to hug her.","Gabriel took his clothes off and opened the door. The floor had been cleaned before and Gabriel hadn't taken his clothes off. This reminded Marco of Gabriel. It was a sunny day for Gabriel, but Silvia and Gabriel got all excited.","Silvia's husband Gabriel, a young man who worked as a doctor, was making a visit to his father. He asked why his wife had stopped at the door. He said that he was tired and needed a change of clothes. He saw that it was his way of thinking about Silvia's face and how he was not happy. The doctor asked him if he would ever need to tell Silvia his story. He had no idea what to say and did not see a smile or a smile. He went upstairs and saw a woman sitting outside with a red haired man. He ran out and looked up at his daughter who looked miserable. He looked at the woman's face and saw how a bad face was turning into a bad face.","Gabriel was looking for someone to sleep with. Gabriel took Silvia to the flat, where Gabriel was waiting. The man who had been there had been waiting for Silvia and waited for him. The woman in the flat was sitting close by. Gabriel was too scared to go out."
