label,level1,level2_fkg,level2_cefr,level3_fkg,level3_cefr,level4_fkg,level4_cefr
A2,The architecture is the building that the architects made. This architect worked really hard and produced lots of drawings and sketches.,Buildings People have always made buildings. We need houses to keep us warm and dry and we build stadiums so we can watch football matches and pop concerts. We use other buildings like museums to keep beautiful things in. Many people work together on a building. The architect decides how the building is going to look and draws pictures that show people his or her ideas.,Architects People have always made buildings. We need houses to keep us warm and dry and we build stadiums so we can watch football matches and pop concerts. We use other buildings like museums to keep beautiful things in. Many people work together on a building. The architect decides how the building is going to look and draws pictures that show people his or her ideas.,People have always made buildings. We need houses to keep us warm and dry and we build stadiums so we can watch football matches or pop concerts. We use other buildings like museums to keep beautiful things in. Many people work together on a building. The architect decides how the building is going to look and draws pictures that show people his or her ideas.,A2 learners will enjoy this story because: It describes buildings and the people who make them.,Buildings People have always made buildings. We need houses to keep us warm and dry and we build stadiums so we can watch football matches and pop concerts. We use other buildings like museums to keep beautiful things in. Many people work together on a building. The architect decides how the building is going to look and draws pictures that show people his or her ideas.,Buildings People have always made buildings. We need houses to keep us warm and dry and we build stadiums so we can watch football matches and pop concerts. We use other buildings like museums to keep beautiful things in. Many people work together on a building. The architect decides how the building is going to look and draws pictures that show people his or her ideas.
A2,"Harry and Paul both sat in their cars. Paul smiled as he pointed out the road they would be driving on. 'It will be fun' he said. 'I think the first ten minutes of the journey will be fun, then it will get very dangerous.' Paul said. 'You've made it clear that you want to go. And besides, I think there isn't anyone here in Dante's Peak who will want to leave.' 'Maybe' Paul said. 'But what happens if the volcano does blow up?' 'Oh, that's OK.' Harry said. 'And if the volcano does go up, you can go.' Paul said. 'But I'll miss you and I can't leave you behind.' Harry said, 'I know what you mean, but I'm also a very loyal friend. And besides, you don't have any reason to be bitter. I'm only here because I want to see you.'","Harry and Paul drove their car down the road to Dante's Peak. While they were driving, Paul's friend Jack came to see them and said, 'It's a volcano!'","Harry and Paul decided to walk out of Dante's Peak. As they walked, the clouds of rain filled the sky. As the rain fell, Paul thought of a way to sell their gold to the other people in the town. Harry asked Paul to tell his father about it. 'Are you sure you want to do this?' he asked. 'Yes' Paul said. 'I do.' 'Yes,' said Harry. 'And it's up to the governor to tell everyone about it'. 'Yes,' said Harry. 'And I think that's what they want too.'",Paul told Harry that if they could make a deal with the people in Dante's Peak they would let them go. Harry said 'I'm going.' So Paul convinced the people of Dante's Peak to let them go. They made their deal and went to the airport. Paul told Harry that if he could make the deal with the people in Dante's Peak they would let him go.,"No Harry said. 'I won't go. I'm your best man and this town has problems.' 'Yes' said Paul. 'You are my best man. But you must understand something. After we go, the people here in Dante's Peak will stay. They have their shops and their businesses. You think only about volcanoes, but this is about money too.' 'OK' Harry said with a smile.","'No' said Harry. 'I won't go. I'm your best man and this town has problems.' 'Yes' said Paul 'you are my best man. But you must understand something. After we go, the people here in Dante's Peak will stay. They have their shops and their businesses. You think only about volcanoes, but this is about money too.' 'OK' Harry said with a smile.","Harry was the best man of Paul. But Paul didn't want Harry to leave Dante's Peak. There were too many problems there. The volcanoes had damaged the town. In fact, it made everyone sick. Harry wasn't sure what Paul would do if he couldn't help. He looked for other things to do."
A2,"Einon Einon wore a cowboy hat on his head and a bow on his shoulder. He looked up at Sir Bowen and said ""Go on with your training Einon.""",Einon had a dream a lot. He said he felt the knight was telling him the Old Code. Einon wanted to learn from his dream. Einon started to follow the teachings of the knight. He was now a Knight of the Old Code. Einon listened intently as the knight taught him the lessons of the Old Code.,"Einon was a young peasant who was studying in Sir Bowen's school. Einon was a good student, and it was obvious that the knight taught him the Old Code. The knight was pleased with Einon because he was such a kind, clever young boy. Einon was also learning how to be a Knight of the Old Code. As Einon studied the Old Code, the knight saw that his students learned to fight with their heads. Einon began to understand the Old Code better. Soon Einon was becoming more able to fight with his heart, not with his head. Einon began to understand the Old Code and he became a Knight of the Old Code. Einon continued to study the Old Code and he became a Knight of the Old Code.","Einon loved Sir Bowen a lot. Then one day Einon fell and broke his wrist. He was very sorry, but he didn't know what to do. Einon started to cry and Bowen told him that Einon might hurt someone. Einon didn't know what to do. His heart hurt because he thought that a knight could hurt him and he didn't want Einon to hurt anyone else either. But Einon knew that if he used his head to win, he would get the advantage and that's what he wanted to do. So Einon kept his head down and he practiced fighting. But after Einon learned all the rules he needed to learn he fought with his heart.",As Einon sat around the table with his friends and his parents Einon said to his father 'I will fight in the old fashioned way with my head.' Einon was a very good fighter.,Einon was a good fighter but Einon was also a knight of the Old Code. Einon would never hurt anyone or be afraid to make a friend. Einon knew the Old Code because there was a very special sword in the castle. But Einon never saw it. One day the knight asked Einon if he could take the sword and have it back. Einon was very shy and did not want to ask his master if he could take it. Einon couldn't imagine why he would lose it. He never had any doubt in his mind. Einon took the sword home and he started to remember the Old Code.,"Einon was five when Einon arrived at his first master's house. 'I'm sorry Einon' said Sir Bowen, but he didn't need to say a word to Einon. Einon liked to be kind. So he would always do what was right, even if it meant doing things he wasn't happy about. Einon didn't know much about the Old Code. But he learned the Old Code quickly. 'Be careful! Fight with your head, don't fight with your heart boy!' shouted Sir Bowen. The knight wanted to make Einon a good fighter. But he also wanted to teach him the Old Code. Sir Bowen and all the kings, princes and knights before him were Knights of the Old Code. For thousands of years kings were kind to peasants and knights helped kings. Einon heard everything that Sir Bowen said. 'I'm sorry Einon,' said Einon, 'but I still have a lot to learn.' Einon thought about what he had heard from Sir Bowen. He then remembered something he read in the Old Code that he had seen in the Old Code. 'The kings of old were kind to peasants and the knights helped them. The Knights of the Old Code also worked hard and became stronger. The kings would always take care of their peasants and wouldn't let the kings abuse their power. Einon understood the Old Code but he didn't really understand what it meant. Einon thought for a moment then he decided he wanted to be a knight too."
A2,"The History of Farming Before people started farming, they went to the forest to look for plants or fruit that they could eat. This meant that people were moving all the time to find food. But about 12000 years ago in the Middle East people began to grow food. These people were the first farmers.",The History of Farming Before people started farming they went to the forest to look for plants or fruit they could eat. This meant that people were moving all the time to find food. But about 12000 years ago in the Middle East people began to grow food. These people were the first farmers.,"The History of Farming Before people started farming they went to the forest to look for plants or fruit they could eat. This meant that people were moving all the time to find food. But about 12000 years ago, in the Middle East, people began to grow food. These people were the first farmers.","In the middle east there were many first farmers. Before farming they went to the forest to look for plants or fruit they could eat. This meant that people were moving all the time to find food. But about 12000 years ago in the Middle East, people began to grow food. These people were the first farmers.","Before people started farming they went to the forest to look for plants or fruit they could eat. This meant that people were moving all the time to find food. But about 12000 years ago, in the Middle East, people began to grow food. These people were the first farmers.","Before people started farming they went to the forest to look for plants or fruit they could eat. This meant that people were moving all the time to find food. But about 12000 years ago in the Middle East, people began to grow food. These people were the first farmers.","The History of Farming Before people started farming they went to the forest to look for plants or fruit they could eat. This meant that people were moving all the time to find food. But about 12000 years ago, in the Middle East, people began to grow food. These people were the first farmers."
A2,A little boy was sitting on the ice with a rucksack on his head. The lake was covered with a layer of ice and he looked up and saw the houses decorated in bright colours.,David and his father built a house on the ice and painted it bright colours. They had to buy paint. They used glue and water. This is what he said when he walked on the ice. He thought this was a very safe activity. This is what he said when he arrived on the ice.,"A man named Roger built a house of a big yellow plastic boat on the ice and stuck a red hot candle inside it. He painted it bright red and white, then stuck a worm inside it. It was cold inside and he got quite cold when he turned his head to look at the outside world.",Mike took his boat up the lake the other day and went ice-fishing.,"A1: 'He's not even going to have an ice house, will he? A2: 'Wait, it's only for children.' A2: 'Yeah, they're going to have a sleigh ride on the lake."" A2: 'Oh, cool.' A2: 'Well then, he'll have to stay in the house all day.'","We woke up early to go ice-fishing. We took the bus to Lake Nipissing. The train took two hours. After we walked to the lake, we built a little house on the ice and painted it with bright colours. Then we sat inside and caught fish that swim under the ice.",If you drive north from Toronto for three hours you come to Lake Nipissing. In winter the lake becomes ice and thousands of Canadian fishermen travel there each weekend. They build little houses of wood on the ice and paint them in bright colours. Then they sit inside to catch the fish that swim under the ice.
A2,"The man had to stop and look round because he saw I was too small to have a foot big enough to kill me. He didn't really know what I was shouting about. All he knew was that I had a very soft little body. So, how did he find out? He looked at the bird that was sitting on top of me. It was about to fly off. He pointed to it and said: 'I see the bird is a pigeon. Why is it sitting on top of me?' The man looked at the bird carefully. Then he put the bird into the basket, walked to me and said: 'Here, sit down on the basket. I have a nice soft little body.' So I sat down on the basket. Then, I began to shout loudly: 'My foot is going to kill me!' The man said: 'I have no foot!' I shouted louder and shouted louder. Finally, he said: 'Bye-bye!'",A man heard me and looked round. Then this big man saw me in the corn. He walked to me and I began to shout loudly: 'His foot is going to kill me!'The man stopped. For a minute he looked down at me carefully. (We look at a small animal in the same way and think: 'Will it hurt me?',A man heard me and looked round. Then this big man saw me in the corn. He walked to me and I began to shout loudly: 'His foot is going to kill me!'The man stopped. For a minute he looked down at me carefully. (We look at a small animal in the same way and think: 'Will it hurt me?'),A man heard me and looked round. Then this big man saw me in the corn. He walked to me and I began to shout loudly: 'His foot is going to kill me!' The man stopped. For a minute he looked down at me carefully. (We look at a small animal in the same way and think: 'Will it hurt me?'),' I would not have thought that a man who had just come to my house would look down at me so carefully. I think that if it had been raining hard he would have thought: 'Will it rain and hurt me?',"The man heard me and looked round. Then this big man saw me in the corn. He walked to me and I began to shout loudly: 'His foot is going to kill me!' The man stopped. For a minute, he looked down at me carefully. (We look at a small animal in the same way and think: 'Will it hurt me?')",A man heard me and looked round. Then this big man saw me in the corn. He walked to me and I began to shout loudly:'His foot is going to kill me!'The man stopped. For a minute he looked down at me carefully. (We look at a small animal in the same way and think: 'Will it hurt me?'
A2,From: D Brown Date: 22.2.02 Subject: Holidays From: D Brown Date: 22.2.02 I am planning the holidays for next year. Please tell me when you would like to take your holiday. If possible could you give me two dates? Please answer by the end of the month. Thank you.,"Memo To: All staff Subject: Holidays From: D Brown Date: 22.2.02 I am planning the holidays for next year. Please tell me when you would like to take your holiday. If possible, could you give me two dates? Please give my answer by the end of the month. Thank you.","To: All staff Subject: Holidays From: D Brown Date: 22.2.02 I am planning the holidays for next year. Please tell me when you would like to take your holiday. If possible, could you give me two dates? Please give me your answer by the end of the month. Thank you.","Memo To: All staff Subject: Holidays From: D Brown Date: 22.2.02 I am planning the holidays for next year. Please tell me when you would like to take your holiday. If possible, could you give me two dates? Please give me your answer by the end of the month. Thank you.","Memo To: All staff Subject: Holidays From: D Brown Date: 22.2.02 I am planning the holidays for next year. Please tell me when you would like to take your holiday. If possible could you give me two dates? Please give me your answer by the end of the month, thank you.","Memo To: All staff Subject: Holidays From: D Brown Date: 22.2.02 I am planning the holidays for next year. Please tell me when you would like to take your holiday. If possible, could you give me two dates? Please give me your answer by the end of the month. Thank you.","memo To: All staff Subject: Holidays From: D Brown Date: 22.2.02 I am planning the holidays for next year. Please tell me when you would like to take your holiday. If possible, could you give me two dates? Please give me your answer by the end of the month. Thank you."
A2,"The Long Night By David Reilly is a novel set in a small hospital in northern Australia, where Maha works. One day, a baby is so ill that Maha has to drive all night to get her to the nearest big city. Is it really such a long and lonely road? The Long Night is a novel about love, friendship and friendship. I don’t know if the book ends happily or not, but the ending feels very good. David Reilly's first book, The Long Night, is out now.","The Long Night is a readable story with simple language. Maha is a nurse in northern Australia where she works in a small hospital. One day a baby is so ill that Maha has to drive all night to get her to the nearest big city. After the long drive, she starts to feel really anxious.",Maha is a nurse in northern Australia where she works in a small hospital. One day a baby is so ill that Maha has to drive all night to get her to the nearest big city.,"This is the most difficult of all the books we read this month! Maha is a nurse in northern Australia where she works in a small hospital. One day a baby is so ill that Maha has to drive all night to get her to the nearest big city. Maha is tired of it all and decides to give up. But instead, Maha falls in love with her driver - a man whom she barely knew before. The book is based on the bestselling, award-winning play The Long Night, and David Reilly's first book, The Long Night, is a beautifully written story about the power of love. It's about love and family, and how we sometimes want to leave everything behind and do the most important things - like be a good friend.",The Long Night is a very touching story based in Australia in which the author is trying to describe his experiences when his two children were born.,Maha is a nurse in northern Australia where she works in a small hospital. One day a baby is so ill that Maha has to drive all night to get her to the nearest big city.,"The Baby Is Dead David Reilly's first book is a gripping tale of love, friendship and survival. It is a story about one woman's desperate attempt to save her baby's life. This is a novel that will appeal to anyone who has survived the unforgiving, arid landscapes and harsh conditions of the northern reaches of Australia."
A2,You like big cats. Do you like big cats?,Big cats There are many different kinds of cats. They are different in size and they do not look and act the same. Tigers are the biggest cats. From head to tail they can be 3.7m long. Most cats don't like water but tigers will often lie in a pool of water when it is hot!,"Tigers are the largest of the big cats. From head to tail, they can be 3.7 metres long. Most cats do not like water but tigers will often lie in a pool of water when it is hot!","Tigers are the biggest cats. From head to tail they can be 3.7m long. Most cats don't like water, but tigers will often lie in a pool of water when it is hot!","Big cats There are many different kinds of cats. They are different in size and they do not look or act the same. Tigers are the biggest cats. From head to tail, they can be 3.7m long. Most cats don't like water, but tigers will often lie in a pool of water when it is hot!","Big cats There are many different kinds of cats. They are different in size and they do not look or act the same. Tigers are the biggest cats. From head to tail they can be 3.7m long. Most cats don't like water, but tigers will often lie in a pool of water when it is hot!","Big cats There are many different kinds of cats. They are different in size and they do not look or act the same. Tigers are the biggest cats. From head to tail they can be 3.7m long. Most cats don't like water, but tigers will often lie in a pool of water when it is hot!"
A2,"Marco felt guilty. His friend Gabriel was in his flat when he left. He should have opened the door. He was in Gabriel's flat because he had a job. He had paid for all his clothes. In addition, Gabriel also gave her all his money.",Gabriel had given Silvia a present. It was a pretty ring. Gabriel had bought it for her in a big shop. Gabriel had not bought it in Silvia's flat. Gabriel didn't give it to her. He was angry. Marco and Gabriel were going to be happy together.,"Marco stared at Silvia's face. His lips were red. He looked at her lips for a moment. Then he realised what was happening. Marco had been standing at the door of Silvia's flat all day, trying to understand why Gabriel had left so early. He was worried because he didn't really know why Gabriel had come to her flat. Then he remembered. Before Gabriel left, Silvia put on her coat and opened the door, just as Gabriel had come out. She said to him: ""Silvia, you aren't my girlfriend... You know this?"" Marco laughed. ""No......"" He said. ""I don't know you at all."" Silvia looked away and nodded.","Marco looked up at Gabriel. He had no idea why he was red. Then he said 'Ali, it's not you!' Marco looked at Gabriel again.","Marco took a deep breath and said 'Silvia's face is red and she looks unhappy...' Gabriel told his wife, 'I don't know why...' Silvia said. Marco looked at Gabriel. He looked at his face and at his hands. He smiled and he said 'I am sorry'.",Marco stood at the door of Silvia's flat and watched Gabriel leaving. He looked carefully at his clothes and his shoes. Why didn't Silvia open the door? She was in there. Then suddenly it opened. 'Silvia dear' Marco said 'you look wonderful...' He stopped. Silvia didn't look wonderful. Her face was red and she looked unhappy.,Marco stood at the door of Silvia's flat and watched Gabriel leave. He looked carefully at his clothes and his shoes. Why didn't Silvia open the door? She was in there. Then suddenly it opened. 'Silvia dear' Marco said 'you look wonderful...' He stopped. Silvia didn't look wonderful. Her face was red and she looked unhappy.
